ra	dec	velocity	z	dist_v2
194.95246	27.982740000000003	5306	0.0177	0.1267304401153566
194.94492	27.97385	9453	0.031532	0.5953067876680542
194.94556	27.99192	8360	0.027886	0.7818816512582605
194.93653	27.96867	9870	0.032923	1.1345230436160212
194.96745	27.996209999999998	8641	0.028823	1.2035171481553202
194.97472	27.97056	6618	0.022075	1.2991325383081607
194.93315	27.967240000000004	7926	0.026438	1.328172083635694
194.93219	27.994690000000002	6688	0.022309	1.3882305741540975
194.96591	27.957309999999996	5960	0.019880000000000002	1.5596938695329798
194.93419	27.95842	6892	0.022989	1.6689359386507623
194.92886000000001	27.998509999999996	8497	0.028343	1.669072752768698
194.9178	27.96824	7531	0.025121	2.011994507815334
194.90966	27.9872	6776	0.022602	2.332122146970779
194.91343	27.99853	7075	0.0236	2.3563834989052515
194.92616	28.015179999999997	7934	0.026465	2.5122580468220073
194.99983	27.98828	9031	0.030124	2.519850640952277
194.99958	27.9894	6535	0.0218	2.519879066376898
194.91523999999998	27.953909999999997	8029	0.026782	2.56867472682475
194.905	27.9722	7615	0.0254	2.596807127192971
194.90828	28.00102	4924	0.016425	2.667320263731478
194.9314	27.93908	7135	0.0238	2.7479387063717127
194.93337	27.93763	7316	0.024404	2.786481160949746
195.00406	27.99155	7465	0.0249	2.779873586389541
194.911	27.949690000000004	6718	0.022409000000000002	2.902961570768544
194.89685	27.98067	7355	0.024534	2.9780451293013157
194.90866	27.9491	6128	0.020441	3.021303129078252
194.89878000000002	27.95927	7176	0.023937	3.150256142863274
194.89331	27.99527	5225	0.017429	3.2839954115365244
194.95877	27.924840000000003	9743	0.0325	3.3649052316792614
194.99778999999998	27.940559999999998	6439	0.021478	3.379279359524281
195.00405	27.94544	6839	0.022812	3.431898159683555
194.90419	28.01861	7293	0.024327	3.446251859779262
195.01561999999998	27.964709999999997	5338	0.017804	3.4513132485323337
195.0185	27.987579999999998	6392	0.021321	3.4921602655558726
194.98605	27.93003	7735	0.025800999999999998	3.5069568109829854
194.88664	27.9836	5789	0.01931	3.5233045672542347
194.98338999999999	28.03472	8181	0.027288999999999997	3.6180285690367238
194.92626	27.92473	6900	0.023016	3.645782298794513
195.02177	27.97666	7792	0.025991000000000004	3.6491135724207027
195.01691	28.008609999999997	6360	0.021215	3.7749929179435333
194.89183	27.94694	7193	0.023993	3.8247429289464008
195.02546	27.978309999999997	7816	0.026070999999999997	3.83923714276907
194.88226	27.963440000000002	8860	0.029554	3.891636894107107
194.89658	27.93473	4193	0.013986000000000002	4.069847530324087
194.98203999999998	27.917690000000004	6677	0.022272	4.080498028288209
194.95909	27.912640000000003	7250	0.024184	4.095754117798911
195.02662	28.00413	7268	0.024243	4.14346897244204
194.87971000000002	27.95492	7074	0.023596000000000002	4.183045712647279
194.93502	27.91246	6678	0.022275	4.204144092185682
195.03387	27.977	6495	0.021665	4.287949640165386
195.03113000000002	27.958059999999996	6267	0.020904	4.354574137622918
194.87485	27.956429999999997	6729	0.022445	4.392487494080954
194.9468	28.05456	9533	0.0318	4.44432273992241
195.02247	28.02445	5899	0.019677	4.518345190055733
195.03497	27.954659999999997	6206	0.0207	4.613441422220014
194.93069	27.906129999999997	6440	0.021481	4.628218624729025
194.87608	28.02085	7166	0.023903	4.736407765401309
194.87219	27.94221	5613	0.018723	4.8679320329556255
195.04312	27.95907	6336	0.021134	4.9459536331560265
194.86081000000001	27.998479999999997	6684	0.022295	5.00242234657207
194.90795	27.907329999999998	8045	0.026835	5.009159690287465
194.86875	28.01925	5942	0.019819999999999997	5.0297351072871415
195.02969	27.93096	7726	0.025771	5.0399469798904315
194.88376	27.92105	6815	0.022732	5.127867344435006
194.8562	27.9732	6112	0.020387	5.1517770018716345
194.85553000000002	27.96793	7698	0.025677999999999996	5.2241848850357915
194.89987	27.90612	9054	0.0302	5.28841837957208
194.85437	27.996740000000003	5507	0.018369	5.316415845747764
194.87833	28.041940000000004	6549	0.021845	5.401056995238679
195.04327	27.938059999999997	7485	0.024967	5.422459020390723
194.89278000000002	27.90734	6805	0.0227	5.4385253528939295
194.99005	28.0651	5822	0.01942	5.43023392283623
194.85857	28.017840000000003	5486	0.018299	5.4792692220009735
194.88101	28.0466	6979	0.023278999999999998	5.495470671128881
194.93623	27.889770000000002	6847	0.022838999999999998	5.527853488879673
194.89022	27.90653	7075	0.0236	5.558167264777151
194.96442	28.07347	7457	0.024874	5.599015473506132
194.84688	27.981920000000002	8874	0.0296	5.626220829406805
194.86969	28.04052	5569	0.018576	5.690813231008834
194.85557	27.934490000000004	7604	0.025363999999999998	5.863213847224915
195.05921999999998	28.00735	8149	0.027181999999999998	5.8476207882675535
194.83921999999998	27.973570000000002	6020	0.020081	6.046972520506479
195.06882	27.96752	4634	0.015456999999999999	6.185107429542926
195.0735	27.98753	6136	0.020467	6.39495762278749
194.83216000000002	27.9735	7206	0.024037	6.42047017170235
194.83348999999998	27.963040000000003	7495	0.025	6.423711114778373
194.965	28.08778	9276	0.030941000000000003	6.45623264003795
195.05667	28.0375	5327	0.017769	6.460935501557021
195.07613	27.97158	4950	0.016511	6.54450871133805
